iso3,county,year,residence,improved_wat_%,improved_san_%,under_5_mortality_rates,income_group,region,total_population,gdp_per_capita_$,population_rural_%,population_urban_%
BGD,Bangladesh,2016,Rural,101.3,78.7,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2017,Urban,99.9,90.6,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2017,Rural,101.8,81.3,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2018,Urban,100.0,90.8,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2018,Rural,102.1,83.7,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2019,Urban,99.9,90.8,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2019,Rural,102.5,86.0,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2020,Urban,99.9,90.5,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2020,Rural,102.7,88.1,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2021,Urban,99.9,89.9,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2021,Rural,103.0,89.0,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2022,Urban,98.8,88.3,0,Unkown,Unkown,0,0,0,0
BGD,Bangladesh,2022,Rural,99.5,81.5,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2000,Urban,86.3,57.5,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2000,Rural,53.4,14.6,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2001,Urban,87.2,57.9,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2001,Rural,57.2,17.0,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2002,Urban,88.1,58.4,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2002,Rural,61.1,19.4,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2003,Urban,89.1,58.8,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2003,Rural,65.1,21.9,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2004,Urban,90.0,59.2,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2004,Rural,69.2,24.3,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2005,Urban,90.9,59.6,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2005,Rural,73.3,26.0,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2006,Urban,91.6,60.0,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2006,Rural,75.4,26.8,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2007,Urban,92.3,60.4,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2007,Rural,77.5,27.4,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2008,Urban,93.1,60.7,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2008,Rural,79.4,27.9,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2009,Urban,93.9,61.1,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2009,Rural,81.0,28.3,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2010,Urban,94.8,65.9,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2010,Rural,82.5,28.7,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2011,Urban,94.9,66.8,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2011,Rural,84.1,30.9,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2012,Urban,95.1,67.7,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2012,Rural,85.8,33.2,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2013,Urban,95.3,68.5,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2013,Rural,87.5,35.6,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2014,Urban,95.4,69.4,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2014,Rural,89.2,38.0,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2015,Urban,95.5,70.2,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2015,Rural,91.0,40.5,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2016,Urban,95.7,70.6,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2016,Rural,92.0,42.2,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2017,Urban,95.9,71.0,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2017,Rural,93.0,43.9,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2018,Urban,96.1,71.3,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2018,Rural,93.8,45.6,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2019,Urban,96.3,71.6,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2019,Rural,94.6,47.3,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2020,Urban,97.4,72.5,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2020,Rural,95.1,48.4,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2021,Urban,98.3,73.3,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2021,Rural,95.5,49.4,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2022,Urban,98.3,82.4,0,Unkown,Unkown,0,0,0,0
BOL,Bolivia,2022,Rural,96.0,50.2,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2000,Urban,84.9,59.1,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2000,Rural,41.9,22.0,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2001,Urban,85.6,60.6,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2001,Rural,44.2,24.0,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2002,Urban,86.3,62.2,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2002,Rural,46.6,26.1,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2003,Urban,87.0,63.7,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2003,Rural,49.0,28.3,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2004,Urban,87.7,65.4,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2004,Rural,51.4,30.5,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2005,Urban,88.4,66.9,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2005,Rural,53.8,32.8,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2006,Urban,89.2,68.4,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2006,Rural,56.1,34.9,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2007,Urban,80.1,69.9,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2007,Rural,58.4,37.0,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2008,Urban,80.8,71.5,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2008,Rural,60.7,39.1,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2009,Urban,81.7,73.1,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2009,Rural,62.9,41.1,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2010,Urban,82.5,74.7,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2010,Rural,59.2,39.4,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2011,Urban,82.1,77.3,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2011,Rural,61.9,43.7,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2012,Urban,81.7,79.9,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2012,Rural,64.6,48.0,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2013,Urban,81.3,82.5,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2013,Rural,67.5,52.5,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2014,Urban,81.0,85.1,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2014,Rural,70.5,57.1,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2015,Urban,80.7,87.7,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2015,Rural,73.5,61.9,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2016,Urban,80.9,90.1,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2016,Rural,75.6,66.1,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2017,Urban,81.1,92.5,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2017,Rural,77.7,70.5,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2018,Urban,81.4,94.9,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2018,Rural,79.8,74.9,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2019,Urban,81.8,97.2,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2019,Rural,81.9,79.4,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2020,Urban,82.1,96.7,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2020,Rural,83.4,83.5,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2021,Urban,82.4,96.4,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2021,Rural,84.8,86.3,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2022,Urban,96.3,95.9,0,Unkown,Unkown,0,0,0,0
KHM,Cambodia,2022,Rural,74.9,81.1,0,Unkown,Unkown,0,0,0,0
CIV,Cote d'Ivoire,2000,Urban,87.9,36.7,137.9,Lower-middle income,Sub-Saharan Africa,16262459.0,2995.69873,57.199,42.801
CIV,Cote d'Ivoire,2000,Rural,69.1,12.2,137.9,Lower-middle income,Sub-Saharan Africa,16262459.0,2995.69873,57.199,42.801
CIV,Cote d'Ivoire,2001,Urban,88.3,37.3,135.0,Lower-middle income,Sub-Saharan Africa,16744888.0,3035.772705,56.634,43.366
CIV,Cote d'Ivoire,2001,Rural,69.5,13.4,135.0,Lower-middle income,Sub-Saharan Africa,16744888.0,3035.772705,56.634,43.366
CIV,Cote d'Ivoire,2002,Urban,88.8,37.8,132.0,Lower-middle income,Sub-Saharan Africa,17234380.0,2949.199707,56.069,43.931
CIV,Cote d'Ivoire,2002,Rural,60.0,14.6,132.0,Lower-middle income,Sub-Saharan Africa,17234380.0,2949.199707,56.069,43.931
CIV,Cote d'Ivoire,2003,Urban,89.2,38.4,129.0,Lower-middle income,Sub-Saharan Africa,17731210.0,2949.199707,55.503,44.497
CIV,Cote d'Ivoire,2003,Rural,60.4,15.8,129.0,Lower-middle income,Sub-Saharan Africa,17731210.0,2949.199707,55.503,44.497
CIV,Cote d'Ivoire,2004,Urban,89.6,38.9,125.8,Lower-middle income,Sub-Saharan Africa,18235472.0,2995.69873,54.935,45.065
CIV,Cote d'Ivoire,2004,Rural,60.9,17.0,125.8,Lower-middle income,Sub-Saharan Africa,18235472.0,2995.69873,54.935,45.065
CIV,Cote d'Ivoire,2005,Urban,90.1,39.5,122.6,Lower-middle income,Sub-Saharan Africa,18747209.0,3060.757813,54.366,45.634
CIV,Cote d'Ivoire,2005,Rural,71.3,18.1,122.6,Lower-middle income,Sub-Saharan Africa,18747209.0,3060.757813,54.366,45.634
CIV,Cote d'Ivoire,2006,Urban,90.3,40.0,119.3,Lower-middle income,Sub-Saharan Africa,19266395.0,3108.904297,53.795,46.205
CIV,Cote d'Ivoire,2006,Rural,72.3,18.9,119.3,Lower-middle income,Sub-Saharan Africa,19266395.0,3108.904297,53.795,46.205
CIV,Cote d'Ivoire,2007,Urban,90.5,40.0,116.0,Lower-middle income,Sub-Saharan Africa,19792994.0,3177.301514,53.222,46.778
CIV,Cote d'Ivoire,2007,Rural,73.0,19.7,116.0,Lower-middle income,Sub-Saharan Africa,19792994.0,3177.301514,53.222,46.778
CIV,Cote d'Ivoire,2008,Urban,90.7,40.0,112.5,Lower-middle income,Sub-Saharan Africa,20326978.0,3289.445068,52.648,47.352
CIV,Cote d'Ivoire,2008,Rural,73.7,20.4,112.5,Lower-middle income,Sub-Saharan Africa,20326978.0,3289.445068,52.648,47.352
CIV,Cote d'Ivoire,2009,Urban,90.8,40.0,109.0,Lower-middle income,Sub-Saharan Africa,20868285.0,3373.25708,52.072,47.928
CIV,Cote d'Ivoire,2009,Rural,74.6,20.9,109.0,Lower-middle income,Sub-Saharan Africa,20868285.0,3373.25708,52.072,47.928
CIV,Cote d'Ivoire,2010,Urban,90.8,43.8,105.4,Lower-middle income,Sub-Saharan Africa,21416847.0,3468.101563,51.494,48.506
CIV,Cote d'Ivoire,2010,Rural,75.4,21.5,105.4,Lower-middle income,Sub-Saharan Africa,21416847.0,3468.101563,51.494,48.506
CIV,Cote d'Ivoire,2011,Urban,91.1,45.0,101.7,Lower-middle income,Sub-Saharan Africa,21972620.0,3239.522217,50.915,49.085
CIV,Cote d'Ivoire,2011,Rural,76.4,23.1,101.7,Lower-middle income,Sub-Saharan Africa,21972620.0,3239.522217,50.915,49.085
CIV,Cote d'Ivoire,2012,Urban,91.5,46.1,98.0,Lower-middle income,Sub-Saharan Africa,22535572.0,3523.513428,50.334,49.666
CIV,Cote d'Ivoire,2012,Rural,77.3,24.7,98.0,Lower-middle income,Sub-Saharan Africa,22535572.0,3523.513428,50.334,49.666
CIV,Cote d'Ivoire,2013,Urban,91.8,47.3,94.3,Lower-middle income,Sub-Saharan Africa,23105658.0,3685.241455,49.751,50.249
CIV,Cote d'Ivoire,2013,Rural,78.2,26.3,94.3,Lower-middle income,Sub-Saharan Africa,23105658.0,3685.241455,49.751,50.249
CIV,Cote d'Ivoire,2014,Urban,92.2,48.5,90.6,Lower-middle income,Sub-Saharan Africa,23682869.0,3922.399658,49.167,50.833
CIV,Cote d'Ivoire,2014,Rural,79.1,27.9,90.6,Lower-middle income,Sub-Saharan Africa,23682869.0,3922.399658,49.167,50.833
CIV,Cote d'Ivoire,2015,Urban,92.5,49.6,87.0,Lower-middle income,Sub-Saharan Africa,24267154.0,3995.89502,48.581,51.419
CIV,Cote d'Ivoire,2015,Rural,80.0,29.4,87.0,Lower-middle income,Sub-Saharan Africa,24267154.0,3995.89502,48.581,51.419
CIV,Cote d'Ivoire,2016,Urban,92.7,50.2,83.5,Lower-middle income,Sub-Saharan Africa,24858509.0,4206.591309,47.994,52.006
CIV,Cote d'Ivoire,2016,Rural,80.3,30.1,83.5,Lower-middle income,Sub-Saharan Africa,24858509.0,4206.591309,47.994,52.006
CIV,Cote d'Ivoire,2017,Urban,92.9,50.7,80.1,Lower-middle income,Sub-Saharan Africa,25456860.0,4460.038086,47.405,52.595
CIV,Cote d'Ivoire,2017,Rural,80.3,30.6,80.1,Lower-middle income,Sub-Saharan Africa,25456860.0,4460.038086,47.405,52.595
CIV,Cote d'Ivoire,2018,Urban,93.1,51.2,77.0,Lower-middle income,Sub-Saharan Africa,26062137.0,4739.040039,46.814,53.186
CIV,Cote d'Ivoire,2018,Rural,80.2,30.9,77.0,Lower-middle income,Sub-Saharan Africa,26062137.0,4739.040039,46.814,53.186
CIV,Cote d'Ivoire,2019,Urban,93.4,51.6,74.0,Lower-middle income,Sub-Saharan Africa,26674251.0,4951.053711,46.222,53.778
CIV,Cote d'Ivoire,2019,Rural,70.1,31.2,74.0,Lower-middle income,Sub-Saharan Africa,26674251.0,4951.053711,46.222,53.778
CIV,Cote d'Ivoire,2020,Urban,93.6,51.9,71.2,Lower-middle income,Sub-Saharan Africa,27293148.0,4995.8125,45.628,54.372
CIV,Cote d'Ivoire,2020,Rural,79.8,31.4,71.2,Lower-middle income,Sub-Saharan Africa,27293148.0,4995.8125,45.628,54.372
CIV,Cote d'Ivoire,2021,Urban,93.7,52.1,68.6,Lower-middle income,Sub-Saharan Africa,27918738.0,5272.247559,45.033,54.967
CIV,Cote d'Ivoire,2021,Rural,79.6,31.5,68.6,Lower-middle income,Sub-Saharan Africa,27918738.0,5272.247559,45.033,54.967
CIV,Cote d'Ivoire,2022,Urban,93.8,52.3,0,Lower-middle income,Sub-Saharan Africa,28551075.0,5459.791992,44.436,55.564
CIV,Cote d'Ivoire,2022,Rural,79.5,31.6,0,Lower-middle income,Sub-Saharan Africa,28551075.0,5459.791992,44.436,55.564
DJI,Djibouti,2000,Urban,87.3,55.5,111.4,Lower-middle income,Middle East & North Africa,723321.0,0,22.868,77.132
DJI,Djibouti,2000,Rural,53.3,16.8,111.4,Lower-middle income,Middle East & North Africa,723321.0,0,22.868,77.132
DJI,Djibouti,2001,Urban,87.8,56.2,107.8,Lower-middle income,Middle East & North Africa,735398.0,0,22.84,77.16
DJI,Djibouti,2001,Rural,54.5,17.7,107.8,Lower-middle income,Middle East & North Africa,735398.0,0,22.84,77.16
DJI,Djibouti,2002,Urban,88.3,56.9,104.3,Lower-middle income,Middle East & North Africa,747976.0,0,22.812,77.188
DJI,Djibouti,2002,Rural,55.7,18.6,104.3,Lower-middle income,Middle East & North Africa,747976.0,0,22.812,77.188
DJI,Djibouti,2003,Urban,88.8,57.6,100.8,Lower-middle income,Middle East & North Africa,761009.0,0,22.784,77.216
DJI,Djibouti,2003,Rural,56.9,19.6,100.8,Lower-middle income,Middle East & North Africa,761009.0,0,22.784,77.216
DJI,Djibouti,2004,Urban,89.3,58.3,97.5,Lower-middle income,Middle East & North Africa,774467.0,0,22.756,77.244
DJI,Djibouti,2004,Rural,58.1,20.5,97.5,Lower-middle income,Middle East & North Africa,774467.0,0,22.756,77.244
DJI,Djibouti,2005,Urban,89.8,59.0,94.2,Lower-middle income,Middle East & North Africa,788320.0,0,22.729,77.271
DJI,Djibouti,2005,Rural,59.3,21.4,94.2,Lower-middle income,Middle East & North Africa,788320.0,0,22.729,77.271
DJI,Djibouti,2006,Urban,90.4,59.7,91.0,Lower-middle income,Middle East & North Africa,802529.0,0,22.702,77.298
DJI,Djibouti,2006,Rural,60.5,21.9,91.0,Lower-middle income,Middle East & North Africa,802529.0,0,22.702,77.298
DJI,Djibouti,2007,Urban,90.9,60.4,87.9,Lower-middle income,Middle East & North Africa,817072.0,0,22.675,77.325
DJI,Djibouti,2007,Rural,61.7,22.5,87.9,Lower-middle income,Middle East & North Africa,817072.0,0,22.675,77.325
DJI,Djibouti,2008,Urban,91.4,61.1,84.9,Lower-middle income,Middle East & North Africa,831938.0,0,22.648,77.352
DJI,Djibouti,2008,Rural,62.9,22.9,84.9,Lower-middle income,Middle East & North Africa,831938.0,0,22.648,77.352
DJI,Djibouti,2009,Urban,91.9,61.8,81.9,Lower-middle income,Middle East & North Africa,847119.0,0,22.621,77.379
DJI,Djibouti,2009,Rural,64.1,23.3,81.9,Lower-middle income,Middle East & North Africa,847119.0,0,22.621,77.379
DJI,Djibouti,2010,Urban,91.8,62.5,79.1,Lower-middle income,Middle East & North Africa,862624.0,0,22.594,77.406
DJI,Djibouti,2010,Rural,64.5,23.6,79.1,Lower-middle income,Middle East & North Africa,862624.0,0,22.594,77.406
DJI,Djibouti,2011,Urban,92.3,63.1,76.4,Lower-middle income,Middle East & North Africa,878473.0,0,22.568,77.432
DJI,Djibouti,2011,Rural,65.9,24.4,76.4,Lower-middle income,Middle East & North Africa,878473.0,0,22.568,77.432
