iso3,country,year,region,income_group,under_5_mortality,population_total,population_rural_pct,population_urban_pct,gdp_per_capita_ppp
AGO,Angola,2021,Sub-Saharan Africa,Lower-middle income,71.0,33933610,36.674,63.326,5472.549884
AGO,Angola,2022,Sub-Saharan Africa,Lower-middle income,,35588987,36.312,63.688,5510.461099
ARG,Argentina,2000,Latin America & Caribbean,Upper-middle income,18.8,36870788,10.662,89.338,18731.84825
ARG,Argentina,2001,Latin America & Caribbean,Upper-middle income,18.1,37274537,10.428,89.572,17805.51869
ARG,Argentina,2002,Latin America & Caribbean,Upper-middle income,17.9,37672283,10.2,89.8,15725.35824
ARG,Argentina,2003,Latin America & Caribbean,Upper-middle income,17.4,38062086,9.975,90.025,17042.85337
ARG,Argentina,2004,Latin America & Caribbean,Upper-middle income,16.1,38443588,9.754,90.246,18446.52984
ARG,Argentina,2005,Latin America & Caribbean,Upper-middle income,15.1,38817395,9.535,90.465,19999.03342
ARG,Argentina,2006,Latin America & Caribbean,Upper-middle income,14.6,39184534,9.32,90.68,21495.27771
ARG,Argentina,2007,Latin America & Caribbean,Upper-middle income,14.1,39546059,9.108,90.892,23293.99344
ARG,Argentina,2008,Latin America & Caribbean,Upper-middle income,13.6,39904944,8.899,91.101,23933.1557
ARG,Argentina,2009,Latin America & Caribbean,Upper-middle income,13.2,40265213,8.692,91.308,22379.15598
ARG,Argentina,2010,Latin America & Caribbean,Upper-middle income,12.8,40788453,8.441,91.559,24483.17641
ARG,Argentina,2011,Latin America & Caribbean,Upper-middle income,12.4,41261490,8.272,91.728,25872.29809
ARG,Argentina,2012,Latin America & Caribbean,Upper-middle income,12.0,41733271,8.105,91.895,25432.488246
ARG,Argentina,2013,Latin America & Caribbean,Upper-middle income,11.5,42202685,7.94,92.06,25916.48512
ARG,Argentina,2014,Latin America & Caribbean,Upper-middle income,11.0,42669500,7.777,92.223,25102.39958
ARG,Argentina,2015,Latin America & Caribbean,Upper-middle income,10.5,43131966,7.616,92.384,25700.41375
ARG,Argentina,2016,Latin America & Caribbean,Upper-middle income,10.1,43590368,7.456,92.544,25048.214249
ARG,Argentina,2017,Latin America & Caribbean,Upper-middle income,9.6,44044811,7.299,92.701,25585.26359
ARG,Argentina,2018,Latin America & Caribbean,Upper-middle income,9.2,44494502,7.143,92.857,24810.74125
ARG,Argentina,2019,Latin America & Caribbean,Upper-middle income,8.8,44938712,6.99,93.01,24172.93757
ARG,Argentina,2020,Latin America & Caribbean,Upper-middle income,8.5,45376763,6.837,93.163,21666.25203
ARG,Argentina,2021,Latin America & Caribbean,Upper-middle income,8.1,45808747,6.687,93.313,23854.84365
ARG,Argentina,2022,Latin America & Caribbean,Upper-middle income,,46234830,6.538,93.462,24823.14923
ARM,Armenia,2000,Europe & Central Asia,Lower-middle income,34.0,3069573,35.45,64.55,4203.743603
ARM,Armenia,2001,Europe & Central Asia,Lower-middle income,32.2,3050607,35.776,64.224,4598.834399
ARM,Armenia,2002,Europe & Central Asia,Lower-middle income,30.3,3033109,36.088,63.912,5145.926229
ARM,Armenia,2003,Europe & Central Asia,Lower-middle income,28.4,3014917,36.386,63.614,5830.403889
ARM,Armenia,2004,Europe & Central Asia,Lower-middle income,26.5,2995326,36.671,63.329,6422.569438
ARM,Armenia,2005,Europe & Central Asia,Lower-middle income,24.6,2974526,36.942,63.058,7284.288286
ARM,Armenia,2006,Europe & Central Asia,Lower-middle income,22.7,2951912,37.2,62.8,8197.80169
ARM,Armenia,2007,Europe & Central Asia,Lower-middle income,20.8,2927236,37.445,62.555,9249.208309
ARM,Armenia,2008,Europe & Central Asia,Lower-middle income,19.1,2902353,37.677,62.323,9827.876508
ARM,Armenia,2009,Europe & Central Asia,Lower-middle income,17.4,2879555,37.896,62.104,8340.239332
ARM,Armenia,2010,Europe & Central Asia,Lower-middle income,16.0,2862298,38.102,61.898,8559.813009
ARM,Armenia,2011,Europe & Central Asia,Lower-middle income,14.7,2854082,37.662,62.338,8914.499691
ARM,Armenia,2012,Europe & Central Asia,Lower-middle income,13.7,2857099,37.228,62.772,9492.348638
ARM,Armenia,2013,Europe & Central Asia,Lower-middle income,12.8,2871317,36.799,63.201,9766.195992
ARM,Armenia,2014,Europe & Central Asia,Lower-middle income,12.0,2893509,36.376,63.624,10065.18783
ARM,Armenia,2015,Europe & Central Asia,Lower-middle income,11.4,2921296,35.958,64.042,10313.19067
ARM,Armenia,2016,Europe & Central Asia,Lower-middle income,10.9,2951745,35.546,64.454,10271.86541
ARM,Armenia,2017,Europe & Central Asia,Lower-middle income,10.5,2982904,35.138,64.862,11029.07349
ARM,Armenia,2018,Europe & Central Asia,Upper-middle income,10.2,3014004,34.736,65.264,11545.82095
ARM,Armenia,2019,Europe & Central Asia,Upper-middle income,10.0,3041232,34.338,65.662,12423.47043
ARM,Armenia,2020,Europe & Central Asia,Upper-middle income,9.9,3066373,33.946,66.054,11707.30932
ARM,Armenia,2021,Europe & Central Asia,Upper-middle income,9.8,3088034,33.559,66.441,12326.96348
ARM,Armenia,2022,Europe & Central Asia,Upper-middle income,,3106155,33.176,66.824,14022.95555
AZE,Azerbaijan,2000,Europe & Central Asia,Upper-middle income,82.1,8093122,50.119,49.881,4960.916892
AZE,Azerbaijan,2001,Europe & Central Asia,Upper-middle income,76.6,8165036,49.799,50.201,5399.799863
AZE,Azerbaijan,2002,Europe & Central Asia,Upper-middle income,71.1,8238243,49.48,50.52,5903.075924
AZE,Azerbaijan,2003,Europe & Central Asia,Upper-middle income,65.8,8315187,49.16,50.84,6512.648028
AZE,Azerbaijan,2004,Europe & Central Asia,Upper-middle income,60.6,8398031,48.841,51.159,7100.864705
AZE,Azerbaijan,2005,Europe & Central Asia,Upper-middle income,55.6,8484500,48.522,51.478,8855.989399
AZE,Azerbaijan,2006,Europe & Central Asia,Upper-middle income,50.7,8581300,48.204,51.796,11681.33230
AZE,Azerbaijan,2007,Europe & Central Asia,Upper-middle income,46.1,8685600,47.885,52.115,14441.72379
AZE,Azerbaijan,2008,Europe & Central Asia,Upper-middle income,42.0,8799800,47.567,52.433,15779.47934
AZE,Azerbaijan,2009,Europe & Central Asia,Upper-middle income,38.3,8924300,47.248,52.752,17112.55110
AZE,Azerbaijan,2010,Europe & Central Asia,Upper-middle income,35.0,9054332,46.93,53.07,17893.58284
AZE,Azerbaijan,2011,Europe & Central Asia,Upper-middle income,32.2,9173082,46.611,53.389,17799.11306
AZE,Azerbaijan,2012,Europe & Central Asia,Upper-middle income,29.8,9295784,46.292,53.708,18087.17173
AZE,Azerbaijan,2013,Europe & Central Asia,Upper-middle income,27.7,9416801,45.973,54.027,19047.88697
AZE,Azerbaijan,2014,Europe & Central Asia,Upper-middle income,25.9,9535079,45.654,54.346,19448.33772
AZE,Azerbaijan,2015,Europe & Central Asia,Upper-middle income,24.3,9649341,45.335,54.665,19572.29657
AZE,Azerbaijan,2016,Europe & Central Asia,Upper-middle income,22.9,9757812,45.015,54.985,18818.14088
AZE,Azerbaijan,2017,Europe & Central Asia,Upper-middle income,21.7,9854033,44.696,55.304,18733.21236
AZE,Azerbaijan,2018,Europe & Central Asia,Upper-middle income,20.6,9939771,44.376,55.624,18831.68814
AZE,Azerbaijan,2019,Europe & Central Asia,Upper-middle income,19.6,10023318,44.056,55.944,19177.10821
AZE,Azerbaijan,2020,Europe & Central Asia,Upper-middle income,18.7,10093121,43.736,56.264,18116.89737
AZE,Azerbaijan,2021,Europe & Central Asia,Upper-middle income,17.9,10137754,43.416,56.584,19114.72147
AZE,Azerbaijan,2022,Europe & Central Asia,Upper-middle income,,10175514,43.095,56.905,20015.15833
BDI,Burundi,2000,Sub-Saharan Africa,Low income,146.1,6378453,91.892,8.108,668.514695
BDI,Burundi,2001,Sub-Saharan Africa,Low income,141.4,6482181,91.565,8.435,662.607421
BDI,Burundi,2002,Sub-Saharan Africa,Low income,136.6,6623636,91.23,8.77,665.485303
BDI,Burundi,2003,Sub-Saharan Africa,Low income,131.7,6804829,90.887,9.113,648.558239
BDI,Burundi,2004,Sub-Saharan Africa,Low income,126.7,7021111,90.536,9.464,657.483244
BDI,Burundi,2005,Sub-Saharan Africa,Low income,121.6,7262100,90.177,9.823,656.417336
BDI,Burundi,2006,Sub-Saharan Africa,Low income,116.3,7516808,89.81,10.19,679.516598
BDI,Burundi,2007,Sub-Saharan Africa,Low income,111.0,777894,89.436,10.564,680.122709
BDI,Burundi,2008,Sub-Saharan Africa,Low income,105.7,8042456,89.053,10.947,700.865955
BDI,Burundi,2009,Sub-Saharan Africa,Low income,100.3,8310086,88.663,11.337,709.838634
BDI,Burundi,2010,Sub-Saharan Africa,Low income,95.0,8580665,88.265,11.735,718.349195
BDI,Burundi,2011,Sub-Saharan Africa,Low income,89.8,8855661,87.859,12.141,729.176472
BDI,Burundi,2012,Sub-Saharan Africa,Low income,84.7,9136121,87.445,12.555,745.283307
BDI,Burundi,2013,Sub-Saharan Africa,Low income,79.8,9423858,87.022,12.978,761.545763
BDI,Burundi,2014,Sub-Saharan Africa,Low income,75.1,9719927,86.591,13.409,774.908833
BDI,Burundi,2015,Sub-Saharan Africa,Low income,70.7,10024503,86.151,13.849,743.085834
BDI,Burundi,2016,Sub-Saharan Africa,Low income,66.6,10336829,85.702,14.298,720.627708
BDI,Burundi,2017,Sub-Saharan Africa,Low income,62.7,10657499,85.244,14.756,707.863119
BDI,Burundi,2018,Sub-Saharan Africa,Low income,59.1,10987483,84.776,15.224,699.294156
BDI,Burundi,2019,Sub-Saharan Africa,Low income,56.0,11326402,84.298,15.702,698.814364
BDI,Burundi,2020,Sub-Saharan Africa,Low income,53.2,11673891,83.811,16.189,697.108985
BDI,Burundi,2021,Sub-Saharan Africa,Low income,50.7,12028668,83.313,16.687,704.992813
BDI,Burundi,2022,Sub-Saharan Africa,Low income,,12390827,82.804,17.196,711.129285
BEN,Benin,2000,Sub-Saharan Africa,Low income,141.6,6783935,62.033,37.967,1925.753361
BEN,Benin,2001,Sub-Saharan Africa,Low income,137.4,6985025,61.353,38.647,1983.394145
BEN,Benin,2002,Sub-Saharan Africa,Low income,133.2,7192328,60.672,39.328,2022.016552
BEN,Benin,2003,Sub-Saharan Africa,Low income,128.9,7405234,59.99,40.01,2058.423985
BEN,Benin,2004,Sub-Saharan Africa,Low income,124.7,7623696,59.306,40.694,2089.475459
BEN,Benin,2005,Sub-Saharan Africa,Low income,120.4,7847952,58.621,41.379,2156.402483
BEN,Benin,2006,Sub-Saharan Africa,Low income,116.2,8078314,57.935,42.065,2212.879783
BEN,Benin,2007,Sub-Saharan Africa,Low income,112.1,8314986,57.247,42.753,2270.366219
BEN,Benin,2008,Sub-Saharan Africa,Low income,108.0,8558156,56.558,43.442,2335.799632
BEN,Benin,2009,Sub-Saharan Africa,Low income,103.9,8808169,55.867,44.133,2343.345982
BEN,Benin,2010,Sub-Saharan Africa,Low income,99.8,9065139,55.174,44.826,2362.615234
BEN,Benin,2011,Sub-Saharan Africa,Low income,95.8,9329188,54.48,45.52,2420.244336
BEN,Benin,2012,Sub-Saharan Africa,Low income,92.0,9599905,53.784,46.216,2484.75708
BEN,Benin,2013,Sub-Saharan Africa,Low income,88.4,9876292,53.086,46.914,2576.495117
BEN,Benin,2014,Sub-Saharan Africa,Low income,85.0,10156976,52.387,47.613,2640.402832
BEN,Benin,2015,Sub-Saharan Africa,Low income,81.8,10441814,51.685,48.315,2631.503906
BEN,Benin,2016,Sub-Saharan Africa,Low income,78.9,10730704,50.982,49.018,2706.772461
BEN,Benin,2017,Sub-Saharan Africa,Low income,76.1,11023777,50.278,49.722,2744.103027
BEN,Benin,2018,Sub-Saharan Africa,Low income,73.5,11321151,49.571,50.429,2808.513428
BEN,Benin,2019,Sub-Saharan Africa,Low income,71.1,11622998,48.863,51.137,2864.846191
BEN,Benin,2020,Sub-Saharan Africa,Low income,68.9,11929384,48.153,51.847,2949.199707
BEN,Benin,2021,Sub-Saharan Africa,Low income,66.8,12239103,47.441,52.559,3035.772705
BEN,Benin,2022,Sub-Saharan Africa,Low income,,12552803,46.728,53.272,3060.757813
BTN,Bhutan,2000,South Asia,Lower-middle income,82.4,534578,73.498,26.502,4603.693848
BTN,Bhutan,2001,South Asia,Lower-middle income,78.2,544865,72.433,27.567,4951.053711
BTN,Bhutan,2002,South Asia,Lower-middle income,74.1,556754,71.378,28.622,5366.421875
BTN,Bhutan,2003,South Asia,Lower-middle income,70.1,569617,70.334,29.666,5730.076172
BTN,Bhutan,2004,South Asia,Lower-middle income,66.2,582736,69.301,30.699,6024.96582
BTN,Bhutan,2005,South Asia,Lower-middle income,62.4,595804,68.278,31.722,6428.188477
BTN,Bhutan,2006,South Asia,Lower-middle income,58.7,608985,67.266,32.734,6709.914063
BTN,Bhutan,2007,South Asia,Lower-middle income,55.0,622288,66.265,33.735,7487.893555
BTN,Bhutan,2008,South Asia,Lower-middle income,51.5,635678,65.275,34.725,7720.597656
BTN,Bhutan,2009,South Asia,Lower-middle income,48.0,649132,64.296,35.704,8096.399414
BTN,Bhutan,2010,South Asia,Lower-middle income,44.7,662650,63.328,36.672,9007.412109
BTN,Bhutan,2011,South Asia,Lower-middle income,41.5,676239,62.37,37.63,9597.234375
BTN,Bhutan,2012,South Asia,Lower-middle income,38.5,689901,61.423,38.577,9941.970703
BTN,Bhutan,2013,South Asia,Lower-middle income,35.6,703598,60.487,39.513,9996.347656
BTN,Bhutan,2014,South Asia,Lower-middle income,33.0,717208,59.562,40.438,10385.20313
BTN,Bhutan,2015,South Asia,Lower-middle income,30.6,730628,58.648,41.352,10874.96094
BTN,Bhutan,2016,South Asia,Lower-middle income,28.4,743711,57.745,42.255,11545.4707
BTN,Bhutan,2017,South Asia,Lower-middle income,26.4,756384,56.852,43.148,12239.16797
BTN,Bhutan,2018,South Asia,Lower-middle income,24.7,768578,55.97,44.03,12429.58496
BTN,Bhutan,2019,South Asia,Lower-middle income,23.1,779904,55.099,44.901,12695.2793
BTN,Bhutan,2020,South Asia,Lower-middle income,21.7,789973,54.238,45.762,11210.05371
BTN,Bhutan,2021,South Asia,Lower-middle income,20.5,798583,53.388,46.612,11340.09082
BTN,Bhutan,2022,South Asia,Lower-middle income,,805603,52.549,47.451,11666.86523
BWA,Botswana,2000,Sub-Saharan Africa,Upper-middle income,73.1,1681023,49.814,50.186,9506.634766
BWA,Botswana,2001,Sub-Saharan Africa,Upper-middle income,68.4,1711202,48.749,51.251,9625.539063
BWA,Botswana,2002,Sub-Saharan Africa,Upper-middle income,64.2,1742416,47.697,52.303,10317.06055
BWA,Botswana,2003,Sub-Saharan Africa,Upper-middle income,60.5,1774358,46.657,53.343,11029.07129
BWA,Botswana,2004,Sub-Saharan Africa,Upper-middle income,57.1,1806950,45.628,54.372,11565.48535
BWA,Botswana,2005,Sub-Saharan Africa,Upper-middle income,54.1,1840243,44.612,55.388,12130.63867
BWA,Botswana,2006,Sub-Saharan Africa,Upper-middle income,51.3,1874284,43.606,56.394,12821.90527
BWA,Botswana,2007,Sub-Saharan Africa,Upper-middle income,48.8,1909180,42.612,57.388,13778.02637
BWA,Botswana,2008,Sub-Saharan Africa,Upper-middle income,46.5,1945037,41.629,58.371,14275.6709
BWA,Botswana,2009,Sub-Saharan Africa,Upper-middle income,44.4,1981881,40.656,59.344,12920.89355
BWA,Botswana,2010,Sub-Saharan Africa,Upper-middle income,42.4,2019782,39.695,60.305,13809.5293
BWA,Botswana,2011,Sub-Saharan Africa,Upper-middle income,40.6,2058778,38.743,61.257,14470.93945
BWA,Botswana,2012,Sub-Saharan Africa,Upper-middle income,38.9,2098863,37.8,62.2,14890.69727
BWA,Botswana,2013,Sub-Saharan Africa,Upper-middle income,37.4,2139987,36.868,63.132,15967.89258
BWA,Botswana,2014,Sub-Saharan Africa,Upper-middle income,36.0,2181977,35.946,64.054,16182.1709
BWA,Botswana,2015,Sub-Saharan Africa,Upper-middle income,34.8,2224734,35.034,64.966,15645.74805
BWA,Botswana,2016,Sub-Saharan Africa,Upper-middle income,33.7,2268102,34.132,65.868,16200.77051
BWA,Botswana,2017,Sub-Saharan Africa,Upper-middle income,32.7,2312061,33.24,66.76,16401.76953
BWA,Botswana,2018,Sub-Saharan Africa,Upper-middle income,31.8,2356598,32.357,67.643,16812.80273
BWA,Botswana,2019,Sub-Saharan Africa,Upper-middle income,31.0,2401662,31.484,68.516,17161.94336
BWA,Botswana,2020,Sub-Saharan Africa,Upper-middle income,30.3,2447233,30.621,69.379,15456.98047
BWA,Botswana,2021,Sub-Saharan Africa,Upper-middle income,29.7,2493286,29.767,70.233,17195.12695
BWA,Botswana,2022,Sub-Saharan Africa,Upper-middle income,,2539798,28.922,71.078,18128.53711
CAF,Central African Republic,2000,Sub-Saharan Africa,Low income,181.7,3579803,63.491,36.509,924.970154
CAF,Central African Republic,2001,Sub-Saharan Africa,Low income,180.7,3643039,63.149,36.851,950.485107
CAF,Central African Republic,2002,Sub-Saharan Africa,Low income,179.6,3712616,62.806,37.194,973.81842
CAF,Central African Republic,2003,Sub-Saharan Africa,Low income,178.6,3787352,62.463,37.537,926.448486
CAF,Central African Republic,2004,Sub-Saharan Africa,Low income,177.5,3865668,62.119,37.881,952.170288
CAF,Central African Republic,2005,Sub-Saharan Africa,Low income,176.4,3946252,61.774,38.226,980.518677
CAF,Central African Republic,2006,Sub-Saharan Africa,Low income,175.2,4027902,61.428,38.572,1006.183411
CAF,Central African Republic,2007,Sub-Saharan Africa,Low income,173.8,4110031,61.082,38.918,1048.971558
CAF,Central African Republic,2008,Sub-Saharan Africa,Low income,172.1,4192161,60.735,39.265,1065.234375
CAF,Central African Republic,2009,Sub-Saharan Africa,Low income,170.1,4274026,60.387,39.613,1086.077271
CAF,Central African Republic,2010,Sub-Saharan Africa,Low income,167.7,4355591,60.038,39.962,1118.995972
CAF,Central African Republic,2011,Sub-Saharan Africa,Low income,165.1,4436979,59.688,40.312,1144.595947
CAF,Central African Republic,2012,Sub-Saharan Africa,Low income,162.2,4518423,59.338,40.662,1181.792358
CAF,Central African Republic,2013,Sub-Saharan Africa,Low income,159.2,4599927,58.986,41.014,749.560669
CAF,Central African Republic,2014,Sub-Saharan Africa,Low income,156.1,4681245,58.634,41.366,756.280151
CAF,Central African Republic,2015,Sub-Saharan Africa,Low income,153.0,4762286,58.281,41.719,759.544556
CAF,Central African Republic,2016,Sub-Saharan Africa,Low income,150.0,4843132,57.928,42.072,780.20813
CAF,Central African Republic,2017,Sub-Saharan Africa,Low income,147.2,4923896,57.573,42.427,798.988892
CAF,Central African Republic,2018,Sub-Saharan Africa,Low income,144.5,5004739,57.218,42.782,801.385315
CAF,Central African Republic,2019,Sub-Saharan Africa,Low income,142.1,5085885,56.862,43.138,812.835571
